model,model_id
Panamera Turbo,1194
335 i,51
M6 Base,987
F-250 XLT Crew Cab Super Duty,683
Continental GT Base,483
Mustang Premium,1128
Corvette Stingray w/1LT,510
Genesis 3.8,802
528 i xDrive,99
CTS 2.0L Turbo Luxury,372
SL-Class SL 63 AMG,1493
E-Class E 350 4MATIC,551
RX 350 F Sport Performance,1325
Rover Defender X-Dynamic SE,1381
SL-Class SL 550,1492
Sorento EX V6,1595
CTS Base,376
F-150 XLT,671
F-150 XLT,671
Transit-350 XLT,1719
300 Touring,34
Model Y Long Range,1109
Santa Fe SEL,1520
Rover Range Rover 3.0L V6 Supercharged HSE,1399
Avalon XLE,286
Civic Sport,467
Transit-350 Base,1717
Cayenne Turbo S,434
Camry SE,411
AMG GLE 43 Coupe 4MATIC,226
CTS Performance,378
Sequoia Limited,1528
Corvette Stingray w/1LT,510
Cayman S,439
CR-V EX,360
Rover Range Rover Sport HSE,1427
Model S 100D,1089
Corolla LE,500
Tahoe LTZ,1673
911 Carrera 4S,148
328 i xDrive,45
240SX Base,25
GL-Class GL 450,760
Fusion SE,739
QX60 Base,1263
Tacoma PreRunner,1664
M235 i,968
F-250 XLT Crew Cab Super Duty,683
Bronco Outer Banks Advanced,325
Expedition Max Limited,639
R1S Adventure Package,1278
911 Carrera S,154
QX60 Luxe,1264
Murano SL,1114
Genesis Coupe 3.8 Track,810
MKZ Base,1016
S4 3.0T Premium Plus,1465
AMG G 63 Base,219
Sorento LX,1597
911 Carrera 4S Cabriolet,149
Rover Range Rover Sport HST MHEV,1429
Supra A91 Edition,1634
Sorento LX V6,1598
M3 CS,972
Cooper Base,495
Bronco Wildtrak Advanced,330
S-Class S 63 AMG,1456
ILX 2.4L,878
Durango SRT,543
911 Carrera,144
Land Cruiser Base,949
S8 4.2 quattro,1486
AMG C 43 Base 4MATIC,209
Challenger R/T,442
911 Carrera,144
Model X Long Range Plus,1104
Yukon XL SLT,1874
1500 Big Horn,5
Gladiator Overland,818
A8 L 55,203
TLX PMC Edition,1643
S60 R,1478
Grand Cherokee L Laredo,842
Suburban LT,1628
911 Carrera S,154
MKC Reserve,1008
Suburban Z71,1632
Golf R 4-Door w/DCC & Navigation,832
Silverado 1500 RST,1570
Ram 1500 ST,1342
A6 3.0T Prestige,186
M3 Base,971
Grand Cherokee L Limited,843
Charger Scat Pack,460
Wrangler Sport,1772
Seltos S,1526
911 Carrera GTS,153
MX-5 Miata Base,1021
Tundra SR5,1737
G37 x,749
Model X Long Range Plus,1104
Sierra 1500 AT4,1538
NX 350 F SPORT Handling,1141
Camaro 2SS,402
Rover Range Rover Sport Supercharged HSE,1436
Lancer DE,941
Rover Range Rover 3.0L V6 Supercharged HSE,1399
300M Base,37
MDX 3.5L Technology Package,997
A4 2.0T Premium Plus,171
Rover Range Rover P530 SE LWB 7 Seat,1419
Camaro 1SS,400
Bronco Sport Big Bend,328
Veloster Base,1747
F-150 XL,670
Camaro 1LT,399
Mustang Premium,1128
Navigator Base,1144
Sportage LX,1605
Suburban 1500 LTZ,1624
135 i,3
LX 570 Three-Row,934
911 Carrera S,154
Jetta 1.4T S,909
F-150 XLT,671
F-150 Heritage XL SuperCab Flareside,660
M3 Base,971
F-PACE S,696
Camry SE,411
S-Class S 550 4MATIC,1452
Challenger SRT Hellcat,447
Rover Defender SE,1378
R8 5.2 V10 performance,1284
Durango R/T,541
Durango GT,540
ALPINA B7 Base,205
ID.4 Pro S,876
Rover Range Rover 3.0L Supercharged HSE,1398
G37 x,749
Challenger SRT Hellcat,447
Macan S,1031
Corvette Stingray w/2LT,511
M4 Base,977
A8 L 55,203
Genesis 3.8,802
GV80 2.5T,792
LX 570 Three-Row,934
M3 Base,971
M8 Competition,992
IS 250 Base,884
F-350 Platinum,690
Corvette Stingray w/1LT,510
Corvette Stingray w/3LT,512
Rover Range Rover Sport Supercharged,1434
540 i xDrive,106
Model S 100D,1089
S5 3.0T Premium Plus,1471
S4 3.0T Premium Plus,1465
Cayenne S,431
A7 Premium Plus,198
A7 55 Premium Plus,196
Sonata Hybrid Limited,1589
QX80 SENSORY,1269
GX 460 Premium,795
Suburban 1500 LT,1623
750 i xDrive,134
XJ8 L,1848
Terrain SLT-1,1690
Land Cruiser Base,949
AMG C 63 S,211
F-250 XLT,682
911 Turbo S,164
Wrangler Unlimited Rubicon,1776
Bentayga Azure First Edition,302
F-150 Lariat,661
Expedition Max Limited,639
A4 2.0T Premium,170
RX 350 F Sport,1324
Passat 2.5 SE,1197
1500 Big Horn,5
3500 Tradesman,57
Cayenne GTS,428
Rover Range Rover Sport HST MHEV,1429
Cayenne Diesel,425
Bronco Sport Outer Banks,329
1500 Laramie,11
M3 Base,971
911 Carrera,144
Rover Range Rover Sport Supercharged Dynamic,1435
Wrangler Unlimited Rubicon,1776
911 Carrera S,154
CX-30 Premium Package,384
1500 Big Horn,5
Cayenne Base,424
2500 Big Horn,26
Romeo Giulia Quadrifoglio,1368
SL-Class SL600 Roadster,1497
MDX 3.7L Advance,1000
Trailblazer LS,1709
M3 Base,971
Mazda6 Touring,1072
Ram 1500 ST,1342
Gladiator Overland,818
Bronco Wildtrak Advanced,330
Thunderbird Premium,1692
911 Carrera,144
Sequoia Limited,1528
A3 2.0T Tech Premium,169
Forte GT-Line,727
Camaro 2SS,402
C-Class C 300 4MATIC Sport,338
Navigator L Reserve,1146
2500 Big Horn,26
RX 350 Base,1321
Grand Cherokee L Laredo,842
Rover Range Rover P525 Westminster,1417
F-150 XLT,671
Model X 75D,1101
Highlander Limited Platinum,866
911 Turbo S,164
Continental GT W12,489
S5 3.0T Premium Plus,1471
G-Class G 550 4MATIC,742
Cayenne Turbo S,434
Camaro 2LT,401
F-150 XLT,671
Explorer XLT,651
Rover LR2 HSE,1392
Yukon Denali,1867
Tiguan 2.0T SEL Premium R-Line,1694
Macan S,1031
Convertible John Cooper Works,494
LS 460 Crafted Line,927
F-150 Lariat,661
1500 Big Horn,5
G-Class G 550 4MATIC,742
Camry Solara SLE,413
Camaro 1LT,399
Rover Range Rover Sport Supercharged HSE,1436
F-250 Lariat,676
Rover Range Rover Sport Supercharged HSE,1436
AMG GT Base,235
Corvette Stingray w/2LT,511
Edge Titanium,581
Suburban LTZ,1629
F-150 Lariat,661
GLC 300 GLC 300,770
Silverado 1500 ZR2,1573
CR-V EX,360
Silverado 1500 1LT,1554
G-Class G 550 4MATIC,742
SQ5 3.0T Premium Plus,1507
911 Turbo Cabriolet,163
740 Li,126
Q5 2.0T Premium Plus,1232
GX 460 Premium,795
E-Class E 350,550
350Z Touring,60
911 Carrera 4S,148
Sportage LX,1605
Monte Carlo SS,1111
MKZ Select,1020
Suburban LTZ,1629
GX 460 Base,793
330 i xDrive,49
A4 2.0T Premium,170
Silverado 1500 RST,1570
Bentayga Activity Edition,301
AMG GLE 43 Coupe 4MATIC,226
LS 460 Base,926
Explorer Platinum,646
Pilot EX-L,1211
Camry Hybrid XLE,409
Sky Red Line,1584
2500 Laramie,27
Rover Range Rover Sport Supercharged HSE,1436
Gladiator Rubicon,819
Suburban Premier,1630
Ghost Base,815
Traverse Premier,1722
FJ Cruiser Base,706
Escalade ESV Platinum,605
Santa Cruz 2.5T Limited,1517
Model 3 Long Range,1084
911 GT3,158
G-Class G 550 4MATIC,742
E-Class E 550,555
Bronco Big Bend,321
Camaro 2LT,401
Camaro 1SS,400
Tahoe Premier,1674
Eclipse Spyder GS,575
RX 350 Base,1321
F-150 XLT,671
F-150 XLT,671
Panamera Platinum Edition,1192
Corvette Base,506
GLC 300 GLC 300,770
Gladiator Overland,818
GR86 Base,780
Land Cruiser Base,949
750 750i xDrive,130
A3 2.0T,167
AMG C AMG C 63 S,213
F-TYPE R,699
Firebird Trans Am,712
Charger Scat Pack,460
Metris Base,1078
Cayenne AWD,423
A5 2.0T Premium Plus,178
Escape SE,621
RX 350 Base,1321
Escalade EXT Base,610
Accent GLS,251
M8 Competition,992
RX 350 F Sport Performance,1325
Macan S,1031
Rover Range Rover P525 HSE SWB,1416
IS 350 Base,887
F-150 Limited,665
911 Carrera,144
Kicks S,921
540 i xDrive,106
435 i,74
Santa Fe SE,1519
Rover Range Rover 3.0L V6 Supercharged HSE,1399
F-150 XLT,671
Tundra SR5,1737
Q3 2.0T Premium Plus,1224
Tundra Hybrid TRD Pro,1733
Murano SL,1114
Civic Si Base,466
E-Class E 350 4MATIC,551
Camaro 1SS,400
CTS 2.0L Turbo Luxury,372
AMG C 63 S,211
Corvette Stingray w/3LT,512
GX 470 Base,796
SL-Class SL500 Roadster,1495
C-Class C 300 4MATIC,336
Expedition Max XLT,640
Camaro 1SS,400
Legacy 2.5 GT spec.B,953
1500 Laramie,11
Liberty Sport,961
Tundra Limited,1734
M4 Base,977
CTS Performance,378
Mustang GT Premium,1123
Optima EX,1160
535 i xDrive,104
A4 2.0T Premium,170
Tundra SR5 Access Cab,1738
M5 Base,983
Bronco Badlands Advanced,319
Wrangler Unlimited Sport,1779
Jetta GLX VR6,912
Suburban RST,1631
Ram 1500 ST,1342
Q60 3.0T Premium,1245
Tahoe High Country,1670
328 i xDrive,45
A4 2.0T Premium Plus,171
Taycan Base,1680
Rover Range Rover P400 SE SWB,1415
Camaro 2SS,402
Civic LX,464
GL-Class GL 550 4MATIC,763
F-150 XLT,671
GX 460 Base,793
Telluride S,1685
LS 460 L,928
Boxster S,316
MKC Reserve,1008
Camaro 1LT,399
M240 i xDrive,970
328 i xDrive,45
540 i xDrive,106
Charger SE,456
911 Carrera S,154
M4 Base,977
Ghibli S Q4 GranSport,814
GT-R Premium,786
GX 460 Premium,795
F-150 XLT SuperCab,672
CLA-Class CLA 250,351
S4 3.0T Premium Plus,1465
Levante Modena,957
Titan SL,1697
Expedition Platinum,641
Murano SL,1114
Ghibli S Q4 GranSport,814
Sportage LX,1605
Camaro 1SS,400
335 i,51
Excursion Limited 4WD,629
GLC 300 Base 4MATIC,769
Grand Cherokee Altitude,841
CX-9 Grand Touring,392
S2000 CR,1460
535 i xDrive,104
GLE 350 Base 4MATIC,772
F-150 XLT,671
QX56 Base,1261
Tundra Hybrid TRD Pro,1733
328 i xDrive,45
LS 460 L,928
MKC Reserve,1008
435 i,74
QX80 Base,1267
Mustang V6,1131
Camaro 2SS,402
S2000 Base,1459
Crosstrek 2.0i Limited,522
Rover Range Rover HSE,1412
Rover Range Rover Sport HST MHEV,1429
AMG GLE 43 Coupe 4MATIC,226
911 Carrera 4S,148
328 i xDrive,45
Suburban LT,1628
XF Luxury,1840
Rover LR3 HSE,1393
QX80 SENSORY,1269
911 Carrera 4S,148
A3 2.0T Premium,168
Escalade EXT Base,610
Romeo Giulia Ti,1369
Mustang V6,1131
Expedition Limited,637
F-150 Lariat SuperCrew,662
Envision Essence,595
Silverado 1500 Limited LT Trail Boss,1569
718 Boxster S,120
Ghibli S Q4,813
Civic Sport,467
F-150 XLT,671
GX 460 Base,793
Quattroporte Base,1270
Rover Discovery HSE LUXURY,1383
Yukon Denali,1867
Sierra 2500 Denali,1549
F-150 Raptor,667
Rover Range Rover Sport SVR Carbon Edition,1433
Explorer Limited,645
Rover Range Rover Sport Supercharged HSE,1436
S-Class S 63 AMG,1456
Corvette Base,506
M5 Base,983
1500 Laramie,11
Palisade Limited,1182
Tundra SR5 Access Cab,1738
ES 350 Base,570
Rover Discovery HSE LUXURY,1383
Rover Range Rover Sport 3.0L Supercharged HSE,1424
Grand Wagoneer Series III,851
AMG GLE 53 AMG GLE 53,227
911 Carrera S,154
GX 470 Base,796
SL-Class SL 550,1492
Yukon Denali,1867
C-Class C 300 4MATIC Sport,338
540 i xDrive,106
4Runner Limited,82
Highlander Hybrid Limited Platinum,862
F-250 Platinum,678
GLE 350 Base 4MATIC,772
RS 7 4.0T Prestige,1312
Ghost Base,815
Macan S,1031
Rover Range Rover HSE SWB,1413
F-150 XLT SuperCab,672
Rover Range Rover P400 SE SWB,1415
Liberty Sport,961
F-150 Lariat,661
Wrangler Sport,1772
435 i,74
Sequoia Platinum,1529
Countryman Cooper S ALL4,518
M4 Competition xDrive,980
Pilot EX-L,1211
Expedition Platinum,641
Bronco Outer Banks Advanced,325
Wrangler Sport,1772
Highlander XLE,869
Outback 2.5i Premium,1168
Silverado 1500 LT Extended Cab,1564
A5 2.0T Premium Plus,178
Highlander XLE,869
Challenger R/T,442
G37 x,749
Rover Range Rover Sport Supercharged,1434
G35 Base,744
Santa Fe SE,1519
Macan S,1031
M8 Gran Coupe Competition,993
Corvette Stingray w/1LT,510
C-Class C 63 AMG,340
Equinox 2LT,598
S-Class S 560 4MATIC,1454
Envision Essence,595
Sorento SXL,1604
Mustang GT Premium,1123
F-150 XLT,671
2500 Powerwagon,29
Corvette Stingray w/3LT,512
Rover Range Rover 3.0L V6 Supercharged HSE,1399
S4 3.0T Premium Plus,1465
1500 Laramie,11
E-Class E 350,550
Optima EX,1160
M3 CS,972
AMG GT C,236
335 i,51
Focus RS Base,717
M5 Base,983
Avalanche 1500 LT,280
GX 470 Base,796
Rover Range Rover Velar P250 SE R-Dynamic,1440
335 i,51
A7 3.0T Premium Plus,193
Grand Cherokee L Limited,843
M4 Base,977
Civic Sport,467
M6 Base,987
Model X Long Range,1103
Ram 1500 ST,1342
Q5 2.0T Premium Plus,1232
M4 Base,977
TSX Technology,1652
Highlander Limited,865
Viper SRT-10,1756
Stinger GT2,1621
M5 Base,983
F-250 XLT SuperCab Super Duty,685
Bronco Sport Outer Banks,329
Model X Performance,1107
1500 Sport,16
Dakota SLT Quad Cab,536
Impreza WRX,898
H2 Base,853
Q50 Hybrid Premium,1242
G-Class G 550 4MATIC,742
CTS 2.0L Turbo Luxury,372
4Runner Limited,82
Transit-350 Base,1717
M3 Base,971
QX60 Base,1263
911 Carrera S,154
Camaro 2SS,402
Ram 1500 ST,1342
M3 Base,971
XC60 T5 R-Design,1821
Model S 100D,1089
Camaro 1SS,400
M760 i xDrive,990
G37 x,749
528 i xDrive,99
GLC 300 GLC 300,770
Optima EX,1160
Expedition XLT,643
Gladiator Mojave,817
Murano SL,1114
SL-Class SL63 AMG Roadster,1498
F-250 Lariat,676
Transit Connect XLT,1715
Panamera Edition,1190
Wrangler Sport,1772
Highlander Limited,865
Suburban 1500 LTZ,1624
Suburban LT,1628
Continental GT Base,483
Bentayga V8,306
Metris Base,1078
Wrangler 80th Anniversary,1765
Sierra 1500 SLE Crew Cab,1544
Corvette Base,506
Gladiator Rubicon,819
Ghibli S Q4 GranSport,814
Mustang V6,1131
4Runner Limited,82
1500 Classic Warlock,10
CX-9 Touring Plus,395
e-tron Premium,1888
Rover Discovery Sport S R-Dynamic,1388
Corvette Base,506
A8 L 3.0T,201
911 Carrera 4S,148
750 i xDrive,134
1500 Laramie,11
X1 xDrive28i,1785
Mazda3 FWD w/Premium Package,1060
GLS 450 Base 4MATIC,777
F-150 XLT,671
F-150 XLT,671
Mustang Mach-E GT,1125
G70 3.3T Advanced,753
C-Class C 300 4MATIC,336
MKZ Base,1016
Genesis Coupe 3.8 Track,810
Model Y Long Range,1109
Mustang GT Premium,1123
AMG C 43 AMG C 43 4MATIC,207
F-150 XLT,671
Sierra 1500 Denali,1539
Corvette Stingray w/3LT,512
Tahoe LT,1672
MDX Technology,1003
Highlander Hybrid Limited Platinum,862
Rover Range Rover Sport Supercharged HSE,1436
Acadia SLE-2,247
Challenger R/T Scat Pack,443
CX-30 Premium Package,384
F-150 XLT,671
SL-Class SL550 Roadster,1496
911 GT3,158
Tundra TRD Pro,1740
911 GT3,158
Corvette Stingray w/3LT,512
Rover Range Rover Sport HSE,1427
Avalon Limited,284
Rover Range Rover Sport Supercharged Dynamic,1435
Expedition Platinum,641
Rover Range Rover Sport HST MHEV,1429
911 Carrera,144
QX80 Base,1267
F-150 XLT,671
RS 7 4.0T Performance Prestige,1311
Traverse Premier,1722
AMG GLE 43 Coupe 4MATIC,226
F-150 XLT SuperCab,672
S4 3.0 Prestige,1463
Camaro 2SS,402
Rover Range Rover HSE,1412
F-350 Lariat Crew Cab Super Duty DRW,688
M4 Base,977
M5 Base,983
528 i xDrive,99
LS 460 Base,926
Gladiator Mojave,817
Expedition Limited,637
Gallardo LP570-4 Superleggera,800
Acadia SLT-1,248
F-150 XLT,671
300 Touring,34
CTS Performance,378
Impreza 2.0i Premium,894
Huracan LP580-2S,873
Charger R/T Scat Pack,455
Mazda6 Grand Touring Reserve,1070
Model S P100D,1097
Highlander XLE,869
CX-7 Grand Touring,389
M3 Base,971
RDX PMC Edition,1299
E-Class D 2.5 Turbo,547
C-HR LE,344
Avalon Touring,285
Suburban Premier,1630
Bronco Wildtrak Advanced,330
M3 Base,971
Ram 1500 Laramie Mega Cab,1337
Corolla LE,500
M3 Base,971
AMG GT 53 Base,231
Beetle 1.8T,298
Camry Solara SLE V6,414
SQ8 4.0T Premium Plus,1510
1500 Laramie,11
M2 Base,965
Suburban 1500 LTZ,1624
A7 Premium,197
H3 Base,855
335 is,53
CTS 2.0L Turbo Luxury,372
Suburban 1500 LT,1623
Q7 Premium Plus,1252
Q5 S line Premium Plus,1238
911 Carrera 4S,148
Suburban LT,1628
SLK-Class SLK 350,1501
F-150 XLT,671
Sequoia Platinum,1529
1500 Laramie,11
Metris Base,1078
Wrangler Unlimited Freedom Edition,1775
Armada LE,264
GX 460 Base,793
M4 Base,977
C-Max Energi SE,345
Ascent Touring 7-Passenger,274
GLS 550 Base 4MATIC,778
C-Class C 300 4MATIC Sport,338
TL Technology,1638
650 i,116
Rover Range Rover Evoque Pure,1407
QX80 Base,1267
F-150 Lariat,661
Corvette Stingray w/3LT,512
G-Class G 550 4MATIC,742
M8 Gran Coupe Competition,993
1500 Laramie,11
CLS-Class CLS 550,357
GranTurismo Sport,838
911 Carrera S,154
BRZ Limited,295
F-150 XLT,671
S5 3.0T Prestige,1472
RS 7 4.0T Performance Prestige,1311
Outback Limited XT,1173
328 i xDrive,45
Escape XLT,623
CT5-V Blackwing,368
Mustang Mach-E GT,1125
AMG G 63 Base,219
Rover Range Rover HSE SWB,1413
Cooper S Base,496
M4 Competition xDrive,980
Mustang Premium,1128
GX 460 Base,793
K5 GT-Line,919
Land Cruiser Base,949
Genesis 4.6,803
911 Carrera S,154
Q50 Hybrid Premium,1242
GV70 2.5T,790
4Runner SR5 Premium,85
Outback 2.5i Limited,1167
SL-Class SL 63 AMG,1493
Q50 Premium,1244
Romeo Giulia Ti,1369
Compass Latitude,479
Genesis Coupe 3.8 R-Spec,809
Mustang Premium,1128
911 Carrera 4S,148
Grand Cherokee Laredo,846
Explorer XLT,651
Panamera 2,1184
Rover Range Rover Supercharged LWB,1438
Macan Turbo,1032
GT-R Black Edition,785
Highlander XLE,869
Cayenne S,431
Highlander Limited,865
M3 Base,971
CX-5 Grand Touring,386
M3 Base,971
CTS-V Base,380
Sequoia Limited,1528
Cullinan,530
CTS Base,376
GX 460 Base,793
AMG C 63 S,211
Sportage Nightfall,1606
SLK-Class SLK 350,1501
X5 xDrive35i,1804
Liberty Sport,961
Suburban LT,1628
AMG G AMG G 63 4MATIC,220
Wrangler Unlimited Sahara,1778
3500 Laramie,55
E-Class E 350,550
i8 Base,1894
Mustang V6,1131
Impreza 2.0i Sport,895
Challenger SRT Hellcat,447
M3 Base,971
A5 2.0T Premium Plus,178
911 Carrera,144
RC F Base,1295
Altima 2.5 S,261
Land Cruiser Base,949
A6 3.0T Prestige,186
XC90 T6 Inscription,1830
Impreza WRX STI,901
AMG G 63 Base,219
F-250 XL,679
911 Turbo S,164
Mustang V6 Premium,1132
Telluride SX,1686
750 i xDrive,134
1500 Limited,12
1500 Classic Warlock,10
335 i,51
S6 4.0T,1474
SL-Class SL 550,1492
Rover Range Rover Sport HSE,1427
911 Carrera,144
Forte Koup EX,728
Accord Hybrid Base,256
A4 2.0T Premium Plus,171
QX56 Base,1261
Rover Range Rover Sport HSE,1427
GX 460 Base,793
Grand Cherokee L Summit,845
Forte Koup EX,728
Sprinter 3500 High Roof,1614
G-Class G 550 4MATIC,742
R1S Adventure Package,1278
Tahoe LT,1672
Genesis Coupe 2.0T R-Spec,806
Rover Range Rover HSE,1412
911 Carrera,144
SL-Class SL500 Roadster,1495
4Runner Sport,86
Shelby GT350 Base,1532
GX 460 Base,793
Mustang GT,1122
Huracan EVO Base,870
Suburban 1500 LTZ,1624
Element EX,586
Macan S,1031
Panamera 4,1185
AMG GLE 43 Coupe 4MATIC,226
F-250 King Ranch,674
E-Class E 400,552
Camry Solara SE,412
G70 2.0T,751
AMG GLE 43 Coupe 4MATIC,226
CX-5 Grand Touring,386
F-150 Lariat,661
Mustang Premium,1128
RLX Advance Package,1304
AMG C 63 Base,210
Model Y Long Range,1109
RX 350 F Sport,1324
F-250 King Ranch,674
Gladiator Sport S,821
Aviator Luxury,293
Rover Range Rover 3.0L Supercharged HSE,1398
Civic LX,464
Ram 1500 ST,1342
335 i,51
RS Q8 4.0T quattro,1315
MX-5 Miata Sport,1027
Macan S,1031
SLK-Class SLK 350,1501
Wrangler Unlimited Sahara,1778
Model Y Long Range,1109
Romeo Stelvio Ti Sport,1373
1500 Limited,12
M3 Base,971
LX 570 Three-Row,934
Telluride SX,1686
Cruze LT Automatic,527
911 Carrera 4S,148
Wrangler Sport,1772
Gallardo LP550-2,798
Silverado 1500 LS,1561
Wrangler Sahara,1770
300C Base,35
430 i,71
Q7 55 Prestige,1251
911 GT3,158
AMG GT 63 S 4-Door,232
F-150 XLT SuperCab,672
F-250 XLT,682
Silverado 1500 LT,1562
Pilot EX,1210
SLK-Class SLK230 Kompressor,1502
Wrangler Rubicon,1766
GL-Class GL 450,760
RX 330 Base,1320
Q50 3.0t Red Sport 400,1240
Transit-350 Base,1717
Highlander XLE,869
ATS 2.5L Luxury,242
F-150 XLT,671
650 i,116
Rover Range Rover Evoque SE Premium,1411
AMG GLS 63 4MATIC,230
RX 350 Base,1321
F-150 XLT,671
435 i,74
F-150 XLT,671
Mustang Premium,1128
A3 2.0T Premium,168
Z4 sDrive28i,1881
550 i xDrive,108
Liberty Limited,959
AMG GT 53 Base,231
Tundra Limited,1734
Sequoia Limited,1528
Suburban 1500 LTZ,1624
Charger R/T Scat Pack,455
F-150 Lariat,661
F-250 XLT,682
F-250 XLT Crew Cab Super Duty,683
F-150 XLT,671
330e iPerformance,50
Model X Long Range,1103
Camaro 1SS,400
Avalanche 1500 LS,279
E-Class E 350,550
S4 3.0 Prestige,1463
Civic Type R Touring,468
Q5 2.0T Premium Plus,1232
A5 2.0T Premium Plus,178
Grand Cherokee L Limited,843
Ram 1500 SLT Mega Cab,1339
F-250 Lariat,676
Corvette Stingray w/3LT,512
Encore GX Essence,593
Rover Range Rover Velar P250 S R-Dynamic,1439
Yaris Base,1865
Explorer XLT,651
Terrain SLT-1,1690
Expedition Max XLT,640
RX-8 Sport,1334
M4 Base,977
F-250 Lariat,676
A6 55 Premium,189
F-150 SVT Raptor,668
F-150 Raptor,667
LS 460 Base,926
Martin Vantage Base,1046
Gallardo SE,801
Q7 3.0T Prestige,1249
Enclave Avenir,589
Navigator Reserve,1149
Town Car Signature,1708
Ridgeline RTL-E,1359
IS 250 Base,884
Jetta GLX VR6,912
Silverado 1500 LT Trail Boss,1565
650 i,116
Grand Cherokee Summit,848
Armada Platinum,265
328 i xDrive,45
Land Cruiser Base,949
R1S Launch Edition,1279
M3 Base,971
Sierra 1500 SLT,1546
Model Y Performance,1110
Corvette Z06,513
Silverado 1500 LT Trail Boss,1565
Tundra Hybrid TRD Pro,1733
Tacoma TRD Sport,1668
R1S Adventure Package,1278
LS 460 Crafted Line,927
X1 xDrive28i,1785
911 Carrera S,154
M6 Gran Coupe Base,988
Highlander XLE,869
Camaro 1LT,399
Silverado 1500 Base,1557
GLC 300 Base 4MATIC,769
Wrangler Sport,1772
Tundra Limited,1734
MX-5 Miata Base,1021
350Z Touring,60
Shelby GT500 Base,1534
FJ Cruiser Base,706
C-Class C 300 4MATIC,336
GLE 350 Base 4MATIC,772
CX-30 Preferred,383
Wrangler Sport,1772
Q8 3.0T Prestige,1257
Avalanche 1500 LS,279
Thunderbird Deluxe,1691
MKX Reserve,1015
Tundra SR5 Double Cab,1739
ALPINA B7 ALPINA B7 xDrive,204
MX-5 Miata Base,1021
370Z Base,61
Expedition Timberline,642
M4 Base,977
Quest SL,1276
IS 250 Base,884
Sequoia Platinum,1529
S5 3.0T Prestige,1472
CTS 2.0L Turbo Luxury,372
Cayman Base,435
Mustang Base,1117
AMG C 63 S,211
F-150 XLT,671
Corvette Stingray w/3LT,512
Ascent Limited 7-Passenger,273
Accord EX-L,254
Panamera 4S,1188
G-Class G 550 4MATIC,742
Rover Range Rover Sport 3.0L Supercharged HSE,1424
Golf GTI 2.0T SE 4-Door,828
335 i,51
Metris Base,1078
Escalade ESV Platinum,605
Cayman GT4,436
Highlander XLE,869
Expedition Max XLT,640
Q3 S line Premium Plus,1227
M6 Gran Coupe Base,988
325 Ci,41
Suburban Premier,1630
M3 Competition,973
Colorado Z71,473
Ghibli Base,811
Rover Range Rover Sport Supercharged,1434
A7 3.0T Premium Plus,193
Metris Base,1078
Camaro 2SS,402
Gladiator Rubicon,819
Bronco Raptor,326
H3 Base,855
XF 3.0 Portfolio,1837
325 xi,43
911 Carrera C2S,150
Touareg VR6 Lux,1703
Liberty Sport,961
MX-5 Miata RF Grand Touring,1025
528 i xDrive,99
Roma Base,1366
A3 2.0T Premium,168
Rover Discovery Sport S R-Dynamic,1388
E-Class E 350,550
F-250 XLT,682
Huracan LP580-2S,873
Macan,1028
M550 i xDrive,985
ATS 2.5L,241
Suburban 1500 LTZ,1624
A4 2.0T Premium Plus quattro,172
1500 Laramie,11
Sierra 2500 SLE H/D Extended Cab,1551
Q70 3.7X,1254
MDX 3.7L Advance,1000
E-Class E 350,550
Taycan Turbo,1681
Wrangler X,1782
Optima EX,1160
Model Y Long Range,1109
Z Proto Spec,1875
Excursion Limited,628
New Compass Trailhawk,1152
Palisade Calligraphy,1181
Gladiator Sport S,821
Bronco Sport Outer Banks,329
Cayenne Turbo,432
GLC 300 GLC 300,770
M2 CS,966
Jetta 1.4T S,909
M4 Competition xDrive,980
AMG C 43 Base 4MATIC,209
Pilot EX-L,1211
Escalade Sport Platinum,618
Enclave Leather,591
Escalade Premium Luxury Platinum,616
Maverick XLT,1052
RX 350 Crafted Line F Sport,1322
GS 350 F Sport,783
A5 2.0T Premium,177
Expedition Limited,637
Solstice GXP,1586
Yukon SLE,1869
Rogue SL,1363
Rover Range Rover HSE SWB,1413
Cayenne Base,424
ATS 2.0L Turbo Luxury,240
Z4 2.5i,1877
Q3 2.0T Premium Plus,1224
SSR Base,1514
Corvette Base,506
MKS EcoBoost,1011
ATS 3.6L Luxury,243
C-Class C 300,335
Macan,1028
Rover LR4 Lux,1396
M3 Base,971
AMG GT R,237
Malibu Premier,1039
1500 Laramie,11
F-150 XLT,671
Tiguan 2.0T SE,1693
1500 Limited,12
AMG C 43 Base 4MATIC,209
M4 Competition xDrive,980
Frontier SV,733
Model X 75D,1101
Rover Range Rover Sport HSE,1427
Metris Base,1078
RS 7 4.0T,1310
E-Class E 350 4MATIC,551
G80 3.3T Sport,756
WRX Limited,1759
911 Carrera S,154
Commander Base,476
AMG G 63 Base,219
Corvette Base,506
F-250 XLT,682
1500 Rebel,14
Golf GTI 2.0T SE 4-Door,828
Integra LS,906
Sierra 1500 Denali,1539
E-Class E 550,555
Tundra Limited,1734
F-150 XLT,671
Land Cruiser Base,949
S-Class S 560 4MATIC,1454
Ranger Sport SuperCab,1352
Camaro 2SS,402
Santa Fe SEL,1520
Rover Range Rover HSE,1412
CX-30 Preferred,383
Panamera Base,1189
Cruze LTZ,528
ES 350 Base,570
Gladiator Overland,818
Civic Si Base,466
Q5 S line Premium Plus,1238
